and	and	そして
it	it	それ
its	it	それ
you	you	あなた
but	but	しかし
not	not	〜ない
they	they	彼ら
just	just	ただ
can	can	〜できる
canned	can	〜できる
canning	can	〜できる
cans	can	〜できる
like	like	好む
liked	like	好む
liker	like	好む
likes	like	好む
your	your	あなたの
he	he	彼
what	what	何
me	me	私
get	get	得る
gets	get	得る
getting	get	得る
got	get	得る
gotten	get	得る
one	one	一つ
ones	one	一つ
people	people	人々
peoples	people	人々
when	when	いつ
think	think	考える
thinkings	think	考える
thinks	think	考える
them	them	彼ら
because	because	なぜなら
how	how	どう
really	really	本当に
time	time	時間
timed	time	時間
times	time	時間
timings	time	時間
know	know	知る
knew	know	知る
known	know	知る
knows	know	知る
good	good	良い
goods	good	良い
then	then	それから
their	their	彼らの
only	only	だけ
his	his	彼の
who	who	誰
also	also	また
even	even	さえ
now	now	今
make	make	作る
made	make	作る
makes	make	作る
she	she	彼女
see	see	見る
seen	see	見る
sees	see	見る
want	want	欲しい
wanted	want	欲しい
wanting	want	欲しい
wants	want	欲しい
go	go	行く
goes	go	行く
goings	go	行く
gone	go	行く
went	go	行く
well	well	よく
wells	well	よく
way	way	方法
ways	way	方法
too	too	〜すぎる
him	him	彼
her	her	彼女
still	still	まだ
game	game	ゲーム
gamed	game	ゲーム
gamer	game	ゲーム
games	game	ゲーム
going	going	行く
very	very	とても
something	something	何か
right	right	正しい
rights	right	正しい
why	why	なぜ
need	need	必要
needed	need	必要
needing	need	必要
needs	need	必要
here	here	ここ
say	say	言う
said	say	言う
sayings	say	言う
says	say	言う
first	first	最初
firsts	first	最初
same	same	同じ
use	use	使う
used	use	使う
uses	use	使う
using	use	使う
never	never	決して〜ない
pretty	pretty	かなり
prettiest	pretty	かなり
prettier	pretty	かなり
lot	lot	たくさん
lots	lot	たくさん
better	better	より良い
bettered	better	より良い
bettering	better	より良い
betterings	better	より良い
betters	better	より良い
where	where	どこ
sure	sure	確か
surer	sure	確か
surest	sure	確か
thing	thing	物
things	thing	物
work	work	働く
worked	work	働く
workings	work	働く
works	work	働く
wrought	work	働く
actually	actually	実際
take	take	取る
taken	take	取る
takes	take	取る
takings	take	取る
took	take	取る
new	new	新しい
newer	new	新しい
newest	new	新しい
someone	someone	誰か
great	great	すばらしい
greater	great	すばらしい
greatest	great	すばらしい
greats	great	すばらしい
probably	probably	おそらく
look	look	見る
looked	look	見る
looks	look	見る
love	love	愛する
loved	love	愛する
loves	love	愛する
loving	love	愛する
feel	feel	感じる
feelings	feel	感じる
feels	feel	感じる
always	always	いつも
us	us	私たち
play	play	遊ぶ
played	play	遊ぶ
plays	play	遊ぶ
find	find	見つける
findings	find	見つける
finds	find	見つける
best	best	最高
bested	best	最高
besting	best	最高
bests	best	最高
day	day	日
days	day	日
two	two	二つ
twos	two	二つ
point	point	点
pointed	point	点
pointing	point	点
pointings	point	点
points	point	点
anything	anything	何でも
our	our	私たちの
bad	bad	悪い
worse	bad	悪い
try	try	試す
tries	try	試す
tried	try	試す
trying	try	試す
shit	shit	糞
shat	shit	糞
shits	shit	糞
shitted	shit	糞
shitting	shit	糞
year	year	年
years	year	年
maybe	maybe	おそらく
little	little	少し
littlest	little	少し
last	last	最後
lasted	last	最後
lasting	last	最後
lastings	last	最後
lasts	last	最後
long	long	長い
longed	long	長い
longest	long	長い
longings	long	長い
longs	long	長い
yeah	yeah	うん？
give	give	与える
gave	give	与える
gives	give	与える
givings	give	与える
enough	enough	十分
man	man	男
manned	man	男
manning	man	男
mans	man	男
different	different	違う
mean	mean	意味する
meaner	mean	意味する
meanest	mean	意味する
meanings	mean	意味する
means	mean	意味する
meant	mean	意味する
life	life	人生
ever	ever	かつて
guy	guy	男
guyed	guy	男
guying	guy	男
guys	guy	男
put	put	置く
puts	put	置く
keep	keep	保つ
keepings	keep	保つ
keeps	keep	保つ
kept	keep	保つ
thought	thought	考え
thoughts	thought	考え
again	again	再び
let	let	させる
lets	let	させる
letting	let	させる
bit	bit	少し
bits	bit	少し
own	own	自分の
owned	own	自分の
owning	own	自分の
owns	own	自分の
money	money	お金
moneys	money	お金
everyone	everyone	みんな
come	come	来る
came	come	来る
comes	come	来る
comings	come	来る
help	help	助ける
helped	help	助ける
helpings	help	助ける
helps	help	助ける
hard	hard	難しい
harder	hard	難しい
hardest	hard	難しい
yes	yes	はい
least	least	少なくとも
leasts	least	少なくとも
post	post	投稿
posted	post	投稿
postings	post	投稿
posts	post	投稿
big	big	大きい
bigger	big	大きい
biggest	big	大きい
part	part	部分
parted	part	部分
partings	part	部分
parts	part	部分
already	already	すでに
person	person	人
persons	person	人
fuck	fuck	わるぐち
fucked	fuck	わるぐち
fucking	fuck	わるぐち
fucks	fuck	わるぐち
nothing	nothing	なし
team	team	チーム
teamed	team	チーム
teaming	team	チーム
teamings	team	チーム
teams	team	チーム
end	end	天端
ended	end	天端
endings	end	天端
ends	end	天端
nice	nice	良い
nicer	nice	良い
nicest	nice	良い
looking	looking	表示
kind	kind	しゅるい
kinder	kind	しゅるい
kindest	kind	しゅるい
kinds	kind	しゅるい
once	once	ひとたび
read	read	読む
readings	read	読む
reads	read	読む
saying	saying	と
stuff	stuff	オブジェクト
stuffed	stuff	オブジェクト
stuffings	stuff	オブジェクト
stuffs	stuff	オブジェクト
world	world	せかい
worlds	world	せかい
far	far	遠い
farther	far	遠い
start	start	を開始します
started	start	を開始します
startings	start	を開始します
starts	start	を開始します
problem	problem	ぶんだい
problems	problem	ぶんだい
less	less	less
lesser	less	less
old	old	古い
older	old	古い
oldest	old	古い
idea	idea	考え
ideas	idea	考え
else	else	その他
everything	everything	すべて
tell	tell	言う
tellings	tell	言う
tells	tell	言う
told	tell	言う
next	next	ネクスト
able	able	できるかぎり
reason	reason	りにゅう
reasoned	reason	りにゅう
reasonings	reason	りにゅう
reasons	reason	りにゅう
anyone	anyone	誰でも
wrong	wrong	間違い
wronged	wrong	間違い
wronging	wrong	間違い
wrongs	wrong	間違い
making	making	作成
believe	believe	信じること
believed	believe	信じること
believes	believe	信じること
believing	believe	信じること
high	high	高
higher	high	高
highest	high	高
highs	high	高
real	real	リアル
reals	real	リアル
show	show	表示するには
showed	show	表示するには
showings	show	表示するには
shown	show	表示するには
shows	show	表示するには
place	place	プレース
placed	place	プレース
places	place	プレース
placing	place	プレース
placings	place	プレース
oh	oh	ご
guess	guess	推測する
guessed	guess	推測する
guesses	guess	推測する
guessings	guess	推測する
buy	buy	さだ
bought	buy	さだ
buying	buy	さだ
buys	buy	さだ
definitely	definitely	明らかに
fun	fun	楽しい
free	free	無料
freed	free	無料
freeings	free	無料
freer	free	無料
frees	free	無料
freest	free	無料
run	run	駆る
ran	run	駆る
runes	run	駆る
running	run	駆る
runs	run	駆る
playing	playing	まで
whole	whole	全体の
wholes	whole	全体の
hope	hope	希望，望み
live	live	生きるために
lived	live	生きるために
lives	live	人生
livings	live	生きるために
job	job	はたらき
jobbed	job	はたらき
jobbing	job	はたらき
jobs	job	はたらき
understand	understand	従う
understandings	understand	従う
understands	understand	従う
understood	understand	従う
change	change	変更するには
changed	change	変更するには
changes	change	変更するには
changing	change	変更するには
fact	fact	ファクト
facts	fact	ファクト
top	top	TOP
topped	top	TOP
tops	top	TOP
case	case	もし
cased	case	もし
cases	case	もし
casings	case	もし
yet	yet	まだ
