and	and	그리고
it	it	그것
its	it	그것의
you	you	너
but	but	하지만
not	not	~아니다
they	they	그들
just	just	단지
can	can	~할 수 있다
canned	can	통조림의
canning	can	통조림
cans	can	캔
like	like	좋아하다
liked	like	좋아하다
liker	like	좋아하다
likes	like	좋아하다
your	your	당신의
he	he	그
what	what	무엇
me	me	나
get	get	얻다
gets	get	얻다
getting	get	얻다
got	get	얻다
gotten	get	얻다
one	one	하나
ones	one	것들
people	people	사람들
peoples	people	사람들
when	when	언제
think	think	생각하다
thinkings	think	생각하다
thinks	think	생각하다
them	them	그들을
because	because	왜냐하면
how	how	어떻게
really	really	정말
time	time	시간
timed	time	시간
times	time	배
timings	time	시간
know	know	알다
knew	know	알다
known	know	알다
knows	know	알다
good	good	좋은
goods	good	상품
then	then	그때
their	their	그들의
only	only	오직
his	his	그의
who	who	누구
also	also	또한
even	even	심지어
now	now	지금
make	make	만들다
made	make	만들다
makes	make	만들다
she	she	그녀
see	see	보다
seen	see	보다
sees	see	보다
want	want	원하다
wanted	want	원하다
wanting	want	원하다
wants	want	원하다
go	go	가다
goes	go	가다
goings	go	가다
gone	go	가다
went	go	가다
well	well	잘
wells	well	우물
way	way	방법
ways	way	방법
too	too	~도
him	him	그를
her	her	그녀의
still	still	아직
game	game	게임
gamed	game	게임
gamer	game	게임
games	game	게임
going	going	가는
very	very	매우
something	something	무언가
right	right	맞다
rights	right	권리
why	why	왜
need	need	필요하다
needed	need	필요하다
needing	need	필요하다
needs	need	필요하다
here	here	여기
say	say	말하다
said	say	말하다
sayings	say	속담
says	say	말하다
first	first	첫 번째
firsts	first	첫 번째
same	same	같은
use	use	사용하다
used	use	사용하다
uses	use	사용하다
using	use	사용하다
never	never	절대
pretty	pretty	꽤
prettiest	pretty	꽤
prettier	pretty	꽤
lot	lot	많은
lots	lot	많은
better	better	더 나은
bettered	better	더 나은
bettering	better	더 나은
betterings	better	더 나은
betters	better	더 나은
where	where	어디
sure	sure	확실한
surer	sure	확실한
surest	sure	확실한
thing	thing	것
things	thing	것
work	work	일하다
worked	work	일하다
workings	work	일하다
works	work	일하다
wrought	work	일하다
actually	actually	실제로
take	take	가져가다
taken	take	가져가다
takes	take	가져가다
takings	take	가져가다
took	take	가져가다
new	new	새로운
newer	new	새로운
newest	new	새로운
someone	someone	누군가
great	great	훌륭한
greater	great	훌륭한
greatest	great	훌륭한
greats	great	훌륭한
probably	probably	아마
look	look	보다
looked	look	보다
looks	look	보다
love	love	사랑
loved	love	사랑
loves	love	사랑
loving	love	사랑
feel	feel	느끼다
feelings	feel	감정
feels	feel	느끼다
always	always	언제나
us	us	우리
play	play	놀다
played	play	놀다
plays	play	놀다
find	find	찾다
findings	find	찾다
finds	find	찾다
best	best	최고의
bested	best	최고의
besting	best	최고의
bests	best	최고의
day	day	날
days	day	날
two	two	둘
twos	two	둘
point	point	점
pointed	point	점
pointing	point	점
pointings	point	점
points	point	점
anything	anything	무엇이든
our	our	우리의
bad	bad	나쁜
worse	bad	더 나쁜
try	try	시도하다
tries	try	시도하다
tried	try	시도하다
trying	try	시도하다
shit	shit	똥
shat	shit	똥
shits	shit	똥
shitted	shit	똥
shitting	shit	똥
year	year	해
years	year	해
maybe	maybe	아마
little	little	작은
littlest	little	작은
last	last	마지막의
lasted	last	마지막의
lasting	last	마지막의
lastings	last	마지막의
lasts	last	마지막의
long	long	긴
longed	long	긴
longest	long	긴
longings	long	긴
longs	long	긴
yeah	yeah	응
give	give	주다
gave	give	주다
gives	give	주다
givings	give	주다
enough	enough	충분한
man	man	남자
manned	man	남자
manning	man	남자
mans	man	남자
different	different	다른
mean	mean	의미하다
meaner	mean	의미하다
meanest	mean	의미하다
meanings	mean	의미하다
means	mean	수단
meant	mean	의미하다
life	life	삶
ever	ever	언젠가
guy	guy	남자
guyed	guy	남자
guying	guy	남자
guys	guy	남자
put	put	놓다
puts	put	놓다
keep	keep	유지하다
keepings	keep	유지하다
keeps	keep	유지하다
kept	keep	유지하다
thought	thought	생각
thoughts	thought	생각
again	again	다시
let	let	시키다
lets	let	시키다
letting	let	시키다
bit	bit	조금
bits	bit	비트
own	own	자신의
owned	own	자신의
owning	own	자신의
owns	own	자신의
money	money	돈
moneys	money	돈
everyone	everyone	모두
come	come	오다
came	come	오다
comes	come	오다
comings	come	오다
help	help	돕다
helped	help	돕다
helpings	help	돕다
helps	help	돕다
hard	hard	어려운
harder	hard	어려운
hardest	hard	어려운
yes	yes	네
least	least	최소한의
leasts	least	최소한의
post	post	게시하다
posted	post	게시하다
postings	post	게시하다
posts	post	게시하다
big	big	큰
bigger	big	큰
biggest	big	큰
part	part	부분
parted	part	부분
partings	part	부분
parts	part	부분
already	already	이미
person	person	사람
persons	person	사람
fuck	fuck	욕
fucked	fuck	욕
fucking	fuck	욕
fucks	fuck	욕
nothing	nothing	아무것도
team	team	팀
teamed	team	팀
teaming	team	팀
teamings	team	팀
teams	team	팀
end	end	끝
ended	end	끝
endings	end	끝
ends	end	끝
nice	nice	좋은
nicer	nice	좋은
nicest	nice	좋은
looking	looking	보이는
kind	kind	종류
kinder	kind	종류
kindest	kind	종류
kinds	kind	종류
once	once	한번
read	read	읽다
readings	read	읽다
reads	read	읽다
saying	saying	말
stuff	stuff	물건
stuffed	stuff	물건
stuffings	stuff	물건
stuffs	stuff	물건
world	world	세계
worlds	world	세계
far	far	먼
farther	far	먼
start	start	시작하다
started	start	시작하다
startings	start	시작하다
starts	start	시작하다
problem	problem	문제
problems	problem	문제
less	less	더 적은
lesser	less	더 적은
old	old	오래된
older	old	오래된
oldest	old	오래된
idea	idea	생각
ideas	idea	생각
else	else	그 밖의
everything	everything	모든 것
tell	tell	말하다
tellings	tell	말하다
tells	tell	말하다
told	tell	말하다
next	next	다음
able	able	할 수 있는
reason	reason	이유
reasoned	reason	이유
reasonings	reason	이유
reasons	reason	이유
anyone	anyone	누구든
wrong	wrong	틀린
wronged	wrong	틀린
wronging	wrong	틀린
wrongs	wrong	틀린
making	making	만들기
believe	believe	믿다
believed	believe	믿다
believes	believe	믿다
believing	believe	믿다
high	high	높은
higher	high	높은
highest	high	높은
highs	high	높은
real	real	진짜의
reals	real	진짜의
show	show	보여주다
showed	show	보여주다
showings	show	보여주다
shown	show	보여주다
shows	show	보여주다
place	place	장소
placed	place	장소
places	place	장소
placing	place	장소
placings	place	장소
oh	oh	오
guess	guess	추측하다
guessed	guess	추측하다
guesses	guess	추측하다
guessings	guess	추측하다
buy	buy	사다
bought	buy	사다
buying	buy	사다
buys	buy	사다
definitely	definitely	분명히
fun	fun	재미있는
free	free	무료의
freed	free	무료의
freeings	free	무료의
freer	free	무료의
frees	free	무료의
freest	free	무료의
run	run	달리다
ran	run	달리다
runes	run	달리다
running	run	달리다
runs	run	달리다
playing	playing	하는
whole	whole	전체의
wholes	whole	전체의
hope	hope	희망
live	live	살다
lived	live	살다
lives	live	삶
livings	live	살다
job	job	일
jobbed	job	일
jobbing	job	일
jobs	job	일
understand	understand	이해하다
understandings	understand	이해하다
understands	understand	이해하다
understood	understand	이해하다
change	change	바꾸다
changed	change	바꾸다
changes	change	바꾸다
changing	change	바꾸다
fact	fact	사실
facts	fact	사실
top	top	꼭대기
topped	top	꼭대기
tops	top	꼭대기
case	case	경우
cased	case	경우
cases	case	경우
casings	case	경우
yet	yet	아직
sorry	sorry	미안한
sorriest	sorry	미안한
sorrier	sorry	미안한
instead	instead	대신에
god	god	신
gods	god	신
found	found	찾았다
founded	found	찾았다
foundings	found	찾았다
founds	found	찾았다
name	name	이름
named	name	이름
names	name	이름
namings	name	이름
almost	almost	거의
level	level	수준
leveled	level	수준
leveling	level	수준
levelled	level	수준
levelling	level	수준
levels	level	수준
agree	agree	동의하다
agreed	agree	동의하다
agreeing	agree	동의하다
agrees	agree	동의하다
remember	remember	기억하다
remembered	remember	기억하다
